,Date,Merchant,Method,金額 (USD),金額 (JPY),Notes,備考,月,Category,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/2 paypay アカチャンホンポ（タブレットりんご）-H,,,-¥398,,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/3 USAA Fastmail Pty,,-$100.00,,,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4 Paypay Uniqlo-H,,,"-¥6,970",,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4 Paypay モーリーファンタジー　イオン　レイクタウン-H,,,"-¥2,600",,子供預かり代金,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7 paypay ららぽーと-W,,,"-¥9,520",,ウィル洋服,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7 paypay ららぽーと　Uniqlo-W,,,"-¥3,970",,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7 paypay Sanki-H,,,"-¥3,063",,靴下,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/12 7-Eleven 現金,,,-¥10,,コピー代金,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/14 nanaco イトーヨーカドー-H,,,"-¥1,380",,エアコンフィルター,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/14 ニトリ　現金,,,"-¥1,196",,ハンガー,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/14 けんいちろう君に返金　現金,,,"-¥260,000",,"シェラトン宿泊代235,040円、美女と野獣プレミアムチケット代4千円と車の送迎代",2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/14 USAA apple,,-$37.95,,,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/17 7-Eleven (楽天)　現金-H,,,"-¥15,903",,寛子用洋服,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/18 prestia???,,,"-¥19,250",,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/23 paypay Seria-H,,,-¥770,,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/25 千葉市科学館 paypay -W,,,-¥715,,,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/25 千葉科学館 paypay-W,,,-¥600,,入場料,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/27 Prestia 楽天-H,,,"-¥5,506",,寛子用洋服,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31 丸井　現金-H,,,"-¥8,630",,寛子用靴,2024-1,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
病気,,,,-$135.00,"-¥1,050",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/16 USAA Bay Area Surgical Specialist-H,,-$135.00,,,,2024-1,病気,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/17 アイビー薬局　現金-H,,,-¥700,,,2024-1,病気,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/22 アイビー薬局　現金-H,,,-¥350,,,2024-1,病気,,,,,,,,,,,,,,,,,,,,,,,,,,
ウィルお小遣い,,,,-$115.61,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/1 USAA Patreon-W,,-$1.66,,,,2024-1,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4 USAA youtube premium-W,,-$13.99,,,,2024-1,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7 USAA Backer kit.com-W,,-$65.00,,,,2024-1,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/8 USAA Audible-W,,-$14.95,,,,2024-1,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/24 USAA Open AI-W,,-$20.00,,,,2024-1,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/24 USAA Oculus-W,,-$0.01,,,,2024-1,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2,,,,-$246.18,"¥1,341,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
給料,,,,$0.00,"¥1,908,810",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 Facebook Japan,,,"¥1,908,810",,,2024-2,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,,,-$135.30,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/7,???,USAA,-$13.99,,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/7,???,USAA,-$14.00,,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 USAA SRE property ,,"$4,345.00",,,"2/1 $5,500: Management fee $385:1/18 (9-12月)　Rental tax $564.67",2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 USAA Compass,,-$242.00,,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 USAA property and Casualty Insurance,,-$82.91,,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/20,???,USAA,-$214.92,,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/20 USAA West valley,,-$337.14,,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29 USAA mortgage payment,,"-$3,575.34",,,,2024-2,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
経費,,,,$0.00,"-¥90,703",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/7 paypay 東京ガス-H,,,"-¥26,367",,2023/12/20-2024/1/22,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/15 Paypay 東京都水道局-H,,,"-¥14,343",,,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/19,東京ガス,,,"-¥31,396",,1/23-2/19,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/24 Prestia Nellies Books-H,,,"-¥6,741",,NOVA教材,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/24 Prestia Nova-W,,,"-¥51,430",,３、4月分,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27  ゆうちょ j-com,,,"-¥4,818",,,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26  ゆうちょ オアシス,,,"-¥9,680",,,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27  ゆうちょ 七田,,,"-¥42,790",,,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29  ゆうちょ docomo,,,"-¥3,138",,,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/9  ゆうちょ カツシカクジドウテアテ,,,"¥100,000",,No idea what this is,2024-2,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
食費,,,,$0.00,"-¥260,210",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1 paypay 大戸屋-W,,,"-¥3,560",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1 paypay 東急-H,,,"-¥3,692",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1 paypay 東急-H,,,-¥340,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/3 paypay いなげや-H,,,"-¥5,556",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 paypay しんぱち食堂-H,,,"-¥1,848",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 paypay 東急-W,,,"-¥3,616",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 paypay Kaldi-W,,,-¥242,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/5 東急　現金-H,,,"-¥2,380",,ポップアップショップのケーキ,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/5 paypay 東急-H,,,"-¥3,216",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/5 paypay さぼてん-W,,,-¥800,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/5 paypay 東急-W,,,"-¥4,879",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/6 paypay Kanadelica-W,,,"-¥10,178",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/7 paypay 東急-H,,,"-¥1,872",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/7 paypay 梅の花-H,,,"-¥8,000",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/7 paypay 丸亀製麺-W,,,"-¥1,560",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/8 paypay 東急-H,,,"-¥5,505",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/9 paypay Lawson100-W,,,-¥235,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/9 paypay Flo-H,,,"-¥4,157",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/9 paypay 東急-H,,,"-¥2,982",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/10 paypay いなげや-H,,,"-¥4,451",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/11 paypay いなげや-H,,,"-¥2,222",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 prestia 星野珈琲-W,,,"-¥2,080",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 prestia 星野珈琲-W,,,"-¥3,920",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 paypay いなげや-H,,,"-¥2,715",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 paypay tully’s-H,,,"-¥3,061",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 paypay Bistro Suzuzen-H,,,"-¥6,160",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 paypay 松屋-W,,,-¥750,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 paypay 東急-W,,,"-¥2,479",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 paypay fepa-H,,,"-¥6,125",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 paypay 東急-H,,,"-¥3,767",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 paypay ちよだ寿司-H,,,"-¥1,177",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 paypay 東急-H,,,"-¥1,261",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/15 paypay lawson100-H,,,-¥258,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/15 paypay 東急-W,,,"-¥5,074",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/15 nanaco 7-Eleven-H,,,"-¥2,093",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/16 paypay さぼてん-H,,,-¥825,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/16 paypay 東急-H,,,"-¥3,389",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/16 paypay Kaldi-H,,,-¥996,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/16 paypay 東急-H,,,"-¥2,814",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/17 paypay いなげや-H,,,"-¥4,499",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/17 paypay セリア-H,,,-¥660,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/17 卒園式ハンバーガー代　現金,,,"-¥3,996",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 paypay いなげや-H,,,"-¥2,835",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 paypay ぼてちゅう-W,,,-¥748,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 paypay 守谷下り醤油ラーメン-W,,,"-¥1,150",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 paypay Oak cafe restaurant-W,,,"-¥2,650",,リゾートもてぎ,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 paypay 守谷-W,,,-¥840,,パン,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/19 paypay 東急-H,,,"-¥2,916",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/19 paypay コメダ-H,,,"-¥3,350",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/20 paypay 東急-W,,,"-¥1,034",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/20 paypay Seria-H,,,"-¥2,000",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/20 paypay いなげや-H,,,"-¥2,694",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/21 Costco 現金,,,"-¥1,080",,食費,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 paypay 大戸屋-W,,,"-¥3,870",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 paypay 松屋-W,,,-¥590,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 paypay 東急-W,,,"-¥3,174",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 paypay Kuramae Cannele-W,,,"-¥1,540",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 paypay Kuramae Cannele-W,,,"-¥1,180",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/23 paypay 東急-W,,,"-¥2,477",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/24 paypay 東急-H,,,"-¥7,204",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/25 nanaco 7-eleven-W,,,-¥950,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/25 paypay 東急-W,,,"-¥5,106",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26 paypay 肉の万世-H,,,"-¥3,960",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26 paypay インドレストラン シータラ-W,,,"-¥1,875",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26 paypay 東急-H,,,"-¥6,336",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26 paypay lawson100-W,,,-¥127,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27 paypay Kaldi-H,,,"-¥2,465",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27 paypay 東急-H,,,"-¥7,179",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27 英子に返金 現金,,,"-¥45,000",,コストコ代、同乗費,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27 nanaco 7-Eleven-W,,,"-¥1,013",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 nanaco 7-eleven-H,,,"-¥2,486",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 現金 響堂カフェレイクタウン-H,,,"-¥2,600",,和風クレープ,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 現金 ユニケアー-H,,,-¥390,,パンティライナー,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 paypay invader-W,,,"-¥1,252",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 paypay asian food garden-W,,,"-¥1,350",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29 paypay Hakuta-H,,,"-¥4,910",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29 nanaco 7-eleven-H,,,-¥399,,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29 paypay 大戸屋-W,,,"-¥2,090",,,2024-2,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
諸々,,,,-$47.94,"-¥189,767",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1 フォトランド-現金 H,,,-¥300,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/2 paypay AmazonJP-H,,,"-¥2,750",,玲用水筒,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/3 paypay Seria-H,,,"-¥1,870",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 paypay AmazonJP-H,,,"-¥7,787",,玲用カーテン、粘土,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 nanaco イトーヨーカドー-H,,,"-¥11,078",,玲用小学校用品,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 paypay Loft-H,,,"-¥2,200",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 paypay Daiso-H,,,"-¥2,418",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/5 paypay daiso-H,,,"-¥1,210",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/6 prestia credit オアシス-W,,,"-¥1,650",,水泳用ゴーグル,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/7 paypay ラフラフイオンタウン-H,,,"-¥1,418",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/8 prestia S.Ride-W,,,"-¥2,300",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/9 paypay ココカラファイン-H,,,-¥531,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/11 nanaco イトーヨーカドー-W,,,"-¥31,350",,枕,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/11 paypay seria-H,,,-¥330,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 paypay-しまむら-H,,,"-¥1,738",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 paypay seria-H,,,-¥330,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/12 paypay 所沢サクラタウン-W,,,"-¥3,800",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 paypay loft-H,,,"-¥4,664",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 nanaco イトーヨーカドー-H,,,"-¥3,520",,トリンプ下着,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 nanaco イトーヨーカドー-H,,,"-¥5,709",,エアコンフィルター等,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 paypay AmazonJP-H,,,"-¥16,602",,アイロン、オムツ,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 prestia 楽天-H,,,"-¥16,934",,寛子用洋服,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 USAA apple,,-$37.95,,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 USAA apple,,-$9.99,,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 paypay daiso-H,,,-¥330,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/14 paypay-ココカラファイン-H,,,"-¥2,496",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/15 prestia 楽天-H,,,-¥989,,玲用マスク,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/16 paypay ココカラファイン-H,,,"-¥1,762",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 paypay リゾートもてぎ-W,,,"-¥13,200",,リゾートもてぎパスポート代,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/18 prestia,,,"-¥7,700",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/19 paypay daiso-H,,,-¥990,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/20 paypay ココカラファイン-W,,,"-¥3,153",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/23 Prestia ユーキャン通販-H,,,"-¥31,680",,玲用紙芝居,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/23 paypay AmazonJP-H,,,"-¥1,705",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26 現金 郵便局-H,,,-¥63,,はがき,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 paypay 郵便局-H,,,"-¥1,204",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 paypay 忍者パーク松戸-W,,,"-¥2,200",,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29 paypay 東急-W,,,-¥810,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29 paypay 東急-W,,,-¥996,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2024-2,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
寛子おこづかい,,,,$0.00,"-¥1,744",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/13 paypay 3Coins-H,,,-¥330,,ヘアクリップ,2024-2,寛子おこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28 paypay Amazon JP-H,,,"-¥1,414",,雑誌,2024-2,寛子おこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
ウィルおこづかい,,,,-$62.94,"-¥19,910",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1 USAA Patreon-W,,-$14.00,,,,2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/4 USAA Youtube Premium-W,,-$13.99,,,,2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/8 USAA Audible-W,,-$14.95,,,,2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/11 paypay しまむら楽器-W,,,"-¥13,200",,ペダルタイプチューナー,2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/21 Prestia Maruzen-W,,,"-¥3,080",,personal spending(art book),2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/22 paypay Maruzen-W,,,"-¥3,630",,personal spending,2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/23 USAA chatGPT subscription-W,,-$20.00,,,,2024-2,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
医療費,,,,$0.00,"-¥4,810",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/20 現金　寛子歯科検診-H,,,"-¥4,110",,,2024-2,医療費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27 現金　アイビー薬局-H,,,-¥700,,玲用オブラート,2024-2,医療費,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-3,,,,"$6,952.87","¥15,934,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,,,"$6,995.81",¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/12 USAA property and casualty insurance,,-$82.91,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/13 USAA compass,,-$242.00,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/14 USAA apple,,-$37.95,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/14 SRE property man Sigonfile,,"$4,730.00",,,"3/1 $5,500: management fee $385+3/22 Re-install the lighting fixer in the bedroom $390",2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/18 USAA  polyend.com,,-$699.00,,,W personal,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/19,???,USAA,-$681.83,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/22 USAA Humble bundle,,-$11.99,,,W personal,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/24 USAA openAI,,-$20.00,,,W personal,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27 USAA apple,,-$59.99,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28 USAA PDF expert by Readdle,,-$79.99,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29,USAA transfer,,"$7,788.80",,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29,???,USAA,-$31.99,,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29,martgage payment,,"-$3,575.34",,,,2024-3,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
給料,,,,$0.00,"¥16,884,693",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/25 Facebook,,,"¥16,884,693",,"特別賞与¥15,061,371：3月分給与¥1,823,322",2024-3,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
経費,,,,$0.00,"-¥103,827",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/25 paypay 東京水道局-W,,,"-¥14,767",,1/23~3/19,2024-3,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/26 ゆうちょ オアシス,,,"-¥9,680",,,2024-3,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27 ゆうちょ j-com,,,"-¥4,818",,,2024-3,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27 ゆうちょ 七田,,,"-¥42,790",,,2024-3,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3-28 ゆうちょ 東京ガス,,,"-¥31,772",,,2024-3,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
食費,,,,$0.00,"-¥203,861",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/1 paypay ミモザ-H,,,"-¥3,520",,,2024-3,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/1 paypay からよし-H,,,"-¥4,175",,,2024-3,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/2 paypay すき家-W,,,"-¥2,860",,,2024-3,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/3 paypay いなげや-H,,,"-¥4,978",,,2024-3,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/3 paypay 中華料理煌-W,,,"-¥2,940",,,2024-3,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
